"Submission Date","Welches Betriebssystem nutzt dein Smartphone?","Nutzt Du neben trackle noch andere Apps oder Geräte um Deine Gesundheitsdaten zu tracken?","Welche dieser Gesundheitsdaten erfasst Du?","Welche dieser Fitness/Gesundheits-Apps nutzt Du regelmäßig?","Welche Wearables/Geräte nutzt Du zum Tracken? (optional)","Wie häufig nutzt du diese Apps / Geräte?","Fändest du es hilfreich, wenn trackle automatisch relevante Gesundheitsdaten (z.B. Schlafqualität, Stress) zur Verbesserung der Zyklusbestimmung benutzen würde?","Hast du weitere Anmerkungen oder Bedenken bezüglich der Integration von Gesundheitsdaten in trackle?","Bitte gib die Antwort zu dieser Aufgabe an, um zu beweisen, dass du ein Mensch bist."
"Dez. 27, 2024",Android,Nein,,,,,Neutral,,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,Neutral,"Ich habe mich nicht informiert, wie das funktioniert, ob das ungesünder wäre. ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher nicht Hilfreich",,Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich","Falls trackle eine Schwangerschaft erkennt wäre es super, wenn er das anzeigen würde (keine Ahnung ob er das schon tut ? Aber wäre hilfreich)",Passed
"Dez. 27, 2024",Android,Nein,,,,,"Eher Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich","Ich fände es toll, wenn man auch noch gezielt andere Symptome wie Krämpfe etc. eintragen könnte, um einen besseren Überblick über Muster im Zyklus zu erhalten. ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich","Nur ob sich korrekt sind —> wie soll Trackel automatisch meinen Stress „messen“ beim Schlaf 

Ansonsten nicht ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich","Wäre noch eine Verbesserung der App und könnte hilfreich für die gesundheit sein und sich positiv auswirken. ",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich","Nein ",Passed
"Dez. 27, 2024",Android,Nein,,,,,"Sehr Hilfreich",,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,Neutral,"Nein :)",Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Eher Hilfreich",Nein,Passed
"Dez. 27, 2024","iOS (Apple)",Nein,,,,,"Sehr Hilfreich",,Passed
